title,award_date,country,awarded_value_eur,supplier_name,tender_url,notice_id,cpv_codes,description,buyer_name
"Provision for the Supply, Delivery, Installation and Commissioning of One (1) unit of a five (5)-laser, spectral, cell sorter (flow cytometer) with imaging capability and integrated biocontainment",2026-02-13,SGP,425467.89,ZUELLIG PHARMA PTE. LTD.,,NST000ETT25000119,,"Provision for the Supply, Delivery, Installation and Commissioning of One (1) unit of a five (5)-laser, spectral, cell sorter (flow cytometer) with imaging capability and integrated biocontainment","Agency for Science, Technology and Research"
SUPPLY AND MAINTENANCE OF FUNCTIONAL NEAR-INFRARED SPECTROSCOPY (fNIRS) NEUROIMAGING DEVICE (TENDER NO.  MHA00103000025885),2026-01-20,SGP,,Unknown,,MHA00003000025885,,SUPPLY AND MAINTENANCE OF FUNCTIONAL NEAR-INFRARED SPECTROSCOPY (fNIRS) NEUROIMAGING DEVICE (TENDER NO.  MHA00103000025885),Ministry of Home Affairs - Ministry Headquarter 1
