title,deadline,country,estimated_value_eur,tender_url,notice_id,cpv_codes,description,buyer_name
NP56326 Service for Peritoneal Dialysis Treatments,2026-02-12,SCT,14000000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000817952,rls-66-JAN546953,33181520 33600000 33692800 85312200,"The provision of a homecare delivery service to enable patients within NHS Scotland to self-administer peritoneal dialysis treatments at home. The service includes the supply of sterile dialysate fluids dispensed in accordance with each individual patient's prescription as detailed within the specification contained within the tender documentation.
 This tender is for a maximum of 200 patients across Scotland resulting in approximately 2000 deliveries per annum. The number of patients and deliveries will vary through the duration of the framework agreement.
 This Lot will be awarded as an unranked multi supplier framework to a maximum of two (2) suppliers. Full details of the products can be found within the ITT documents. The provision of a homecare delivery service to enable patients within NHS Scotland to self-administer peritoneal dialysis treatments at home. The service may include the supply of a dialysis machine, consumables as required, sterile dialysate fluids dispensed in accordance with each individual patient's prescription, ancillaries as required, the homecare delivery service to the patient at home, or other agreed delivery point, and the removal of waste if required as detailed within the specification contained within the tender documentation.
 This tender is for a maximum of 200 patients across Scotland resulting in approximately 2000 deliveries per annum. The number of patients and deliveries will vary through the duration of the framework agreement.
 This Lot will be awarded as an unranked multi supplier framework to a maximum of two (2) suppliers. Full details of the Service can be found within the ITT documents.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
HH072-25-HB Specialist Environmental Aids for Deaf People,2026-02-09,SCT,125000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000813938,rls-70-JAN546876,32552150 32552160 33185000 33185100 33196000 33196100 33196200 85120000,"NHS Highland is seeking to engage a suitably qualified organisation to deliver a comprehensive service for the provision of environmental aids and equipment designed to enhance the independence, safety, and overall wellbeing of individuals with hearing loss across the Highland region.
 The appointed contractor will be responsible for the following key service components:
 Supply of Aids and Equipment: Provision of specialist environmental aids and equipment to eligible individuals, on a loan basis, as determined by NHS Highlandâs established risk and eligibility criteria.
 Maintenance and Repair Services: Facilitation of repairs to issued equipment where feasible, ensuring that returned items are restored to a functional condition suitable for re-issue, thereby supporting the sustainability and efficiency of the service.
 Recycling and Disposal Compliance: Management of equipment recycling and disposal in accordance with the Waste Electrical and Electronic Equipment (WEEE) regulations, ensuring environmentally responsible practices are upheld.
 Training and Advisory Support: Delivery of expert guidance and training to deaf support staff, covering the operation, functionality, and appropriateness of the aids and equipment provided, to ensure optimal use and benefit for individuals with hearing loss.",NHS Highland
Cath Labs and Cardiology Stents,2026-02-16,SCT,40800000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000819935,rls-75-JAN546707,33140000 33141200 33141210 34722100,"Provision of Balloon Catheters for use in Cardiology. Provision of Diagnostic Catheters for use in Cardiology. Provision of Guide Catheters for use in cardiology. Provision of Guide Extension Catheters for use in cardiology. Provision of Femoral Introducers for use in Cardiology. Provision of Radial Introducers for use in Cardiology. Provision of Radial Compression Devices for use in Cardiology. Provision of FFR Measurement Systems for use in Cardiology. Provision of Intra Aortic Balloon Catheters for use in Cardiology Provision of Inflation Devices for use in Cardiology. Provision of Vascular Closure Devices for use in Cardiology. Provision of IVUS Consumables for use in Cardiology. Provision of OCT Consumables for use in Cardiology. Provision of Workhorse Drug Eluting Stents for use in Cardiology. Provision of High Risk Bleed Drug Eluting Stents for use in Cardiology. Provision of niche Drug Eluting Stents for use in cardiology. Provision of Drug Eluting Balloons for use in Cardiology. Provision of Angio Guidewires for use in Cardiology. Accessories - Unscored Lot.
 This Lot is for items which don't fall into Lots 1-20 but are used in association with an item(s) submitted in another Lot. These items must be relevant to any of the items within Lots 1-20 of the framework. The Authority reserves the right to accept or decline any items submitted into this Lot onto the framework. Suppliers are only awarded to this Lot if they have been successfully awarded to one of the scored Lots (1-20). Innovation - Unscored Lot.
 For unique and new items which are yet to be made available to the market, but will become available over the duration of the framework. They must be the first of its kind to the market, with no other equivalent available. These items must be relevant to any of the items within Lots 1-20. The Authority reserves the right to accept or decline any items submitted into this Lot onto the framework. Suppliers are automatically awarded to this Lot if they have been successfully awarded to any of the other Lots (1-20). Commitment Lot - Unscored.
 This Lot is for suppliers who have been awarded to one or more of the scored Lots (1-20). The purpose of this Lot is to allow suppliers to propose commitment (value or volume) or collaboration (multi Health Boards) structures, which will result in improved value for end users or Health Boards. Please detail below any improved value offers below. Calcium Management for use in Cardiology.
 This lot is UNSCORED.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
Cath Labs and Cardiology Stents,2026-02-16,SCT,40800000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000819879,rls-76-JAN546646,33140000 33141200 33141210 34722100,"Provision of Balloon Catheters for use in Cardiology. Provision of Diagnostic Catheters for use in Cardiology. Provision of Guide Catheters for use in cardiology. Provision of Guide Extension Catheters for use in cardiology. Provision of Femoral Introducers for use in Cardiology. Provision of Radial Introducers for use in Cardiology. Provision of Radial Compression Devices for use in Cardiology. Provision of FFR Measurement Systems for use in Cardiology. Provision of Intra Aortic Balloon Catheters for use in Cardiology Provision of Inflation Devices for use in Cardiology. Provision of Vascular Closure Devices for use in Cardiology. Provision of IVUS Consumables for use in Cardiology. Provision of OCT Consumables for use in Cardiology. Provision of Workhorse Drug Eluting Stents for use in Cardiology. Provision of High Risk Bleed Drug Eluting Stents for use in Cardiology. Provision of niche Drug Eluting Stents for use in cardiology. Provision of Drug Eluting Balloons for use in Cardiology. Provision of Angio Guidewires for use in Cardiology. Accessories - Unscored Lot.
 This Lot is for items which don't fall into Lots 1-20 but are used in association with an item(s) submitted in another Lot. These items must be relevant to any of the items within Lots 1-20 of the framework. The Authority reserves the right to accept or decline any items submitted into this Lot onto the framework. Suppliers are only awarded to this Lot if they have been successfully awarded to one of the scored Lots (1-20). Innovation - Unscored Lot.
 For unique and new items which are yet to be made available to the market, but will become available over the duration of the framework. They must be the first of its kind to the market, with no other equivalent available. These items must be relevant to any of the items within Lots 1-20. The Authority reserves the right to accept or decline any items submitted into this Lot onto the framework. Suppliers are automatically awarded to this Lot if they have been successfully awarded to any of the other Lots (1-20). Commitment Lot - Unscored.
 This Lot is for suppliers who have been awarded to one or more of the scored Lots (1-20). The purpose of this Lot is to allow suppliers to propose commitment (value or volume) or collaboration (multi Health Boards) structures, which will result in improved value for end users or Health Boards. Please detail below any improved value offers below. Calcium Management for use in Cardiology.
 This lot is UNSCORED.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
Cath Labs and Cardiology Stents,2026-02-16,SCT,40800000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000815734,rls-77-JAN546632,33140000 33141200 33141210 34722100,"Provision of Balloon Catheters for use in Cardiology. Provision of Diagnostic Catheters for use in Cardiology. Provision of Guide Catheters for use in cardiology. Provision of Guide Extension Catheters for use in cardiology. Provision of Femoral Introducers for use in Cardiology. Provision of Radial Introducers for use in Cardiology. Provision of Radial Compression Devices for use in Cardiology. Provision of FFR Measurement Systems for use in Cardiology. Provision of Intra Aortic Balloon Catheters for use in Cardiology Provision of Inflation Devices for use in Cardiology. Provision of Vascular Closure Devices for use in Cardiology. Provision of IVUS Consumables for use in Cardiology. Provision of OCT Consumables for use in Cardiology. Provision of Workhorse Drug Eluting Stents for use in Cardiology. Provision of High Risk Bleed Drug Eluting Stents for use in Cardiology. Provision of niche Drug Eluting Stents for use in cardiology. Provision of Drug Eluting Balloons for use in Cardiology. Provision of Angio Guidewires for use in Cardiology. Accessories - Unscored Lot.
 This Lot is for items which don't fall into Lots 1-20 but are used in association with an item(s) submitted in another Lot. These items must be relevant to any of the items within Lots 1-20 of the framework. The Authority reserves the right to accept or decline any items submitted into this Lot onto the framework. Suppliers are only awarded to this Lot if they have been successfully awarded to one of the scored Lots (1-20). Innovation - Unscored Lot.
 For unique and new items which are yet to be made available to the market, but will become available over the duration of the framework. They must be the first of its kind to the market, with no other equivalent available. These items must be relevant to any of the items within Lots 1-20. The Authority reserves the right to accept or decline any items submitted into this Lot onto the framework. Suppliers are automatically awarded to this Lot if they have been successfully awarded to any of the other Lots (1-20). Commitment Lot - Unscored.
 This Lot is for suppliers who have been awarded to one or more of the scored Lots (1-20). The purpose of this Lot is to allow suppliers to propose commitment (value or volume) or collaboration (multi Health Boards) structures, which will result in improved value for end users or Health Boards. Please detail below any improved value offers below. Calcium Management for use in Cardiology.
 This lot is UNSCORED.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
NP36126 Antibiotic & Genito Urinary Medicines,2026-02-06,SCT,88941093.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000801508,rls-78-JAN546601,33600000,"Supply of Antibiotic, Antiviral & Genito Urinary Medicines to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework per product line.
 Full details of Goods and volumes can be found within the ITT documents. Supply of Tobramycin, Colistimethate and Dornase Alfa Medicines for Inhalation to NHS Scotland.
 The Authority intends to award this Lot as an unranked multi-supplier framework per product line to a maximum of six (6) Framework Participants.
 Full details of Goods and volumes can be found within the ITT documents Supply of Emergency Planning Antibiotics to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework per product line.
 Full details of Goods and volumes can be found within the ITT documents. Supply of Antibiotics for supply to the National NHS Pharmaceutical Specials Service (PSS) to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework per product line.
 Full details of Goods and volumes can be found within the ITT documents Supply of Vancomycin 1g & 500mg powder for solution for infusion vials âsingle vials to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Full details of Goods and volumes can be found within the ITT documents Supply of Vancomycin 1g & 500mg powder for solution for infusion vials â 10 vial pack to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Full details of Goods and volumes can be found within the ITT documents. Supply of Vancomycin 1g & 500mg powder for solution for infusion vials â 5 vial pack to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Full details of Goods and volumes can be found within the ITT documents. Supply of Teicoplanin 200mg & 400mg powder and solvent for solution for injection vials â single vials to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Full details of Goods and volumes can be found within the ITT documents.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
HIV Medicines,2026-02-04,SCT,89900000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000819080,rls-84-JAN546436,33600000,"Supply of generic HIV medicines to NHS Scotland. The Authority intends to award this Lot as a ranked multi-supplier framework per product line to a maximum of four (4) Framework Participants. Full details of Goods and volumes can be found within the ITT documents. Supply of branded HIV medicines to NHS Scotland. The Authority intends to award this Lot as a single supplier framework per product line.
 NOTE: Lines 62 and 63 will be awarded as unranked multi supplier framework agreements to a maximum of two (2) Framework Participants.
 Full details of Goods and volumes can be found within the ITT documents.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
BVD p80 Ab Elisa Test Kits,2026-03-27,SCT,96000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000824487,rls-20-FEB550177,33124130 33141625 33696500,"SRUC Veterinary Services (VS), a wholly owned subsidiary of SRUC, provides veterinary advice and laboratory services to thousands of customers in Great Britain, Ireland and Worldwide. We employ over 25 vets who have the backing of around 100 scientific and support staff.
 Operating to ISO17025, we provide a practical approach coupled with strong scientific knowledge. Our services are delivered through a network of Disease Surveillance Hubs located across Scotland.
 Under this contract the supplier is required to provide and deliver SRUCâs requirement for test kits for BVD Ab testing.
 At current levels, SRUC carries out circa 44000 BVD Ab tests per annum at its Veterinary and Analytical Laboratory located at the Pentlands Science Park, Penicuik, EH26 0PZ.",SRUC
Vehicle and Plant Hire,2026-03-16,SCT,120000000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000810626,rls-46-FEB549543,33141642 34100000 34113300 34114000 34115200 34120000 34140000 34142100 34143000 34144000 34144410 34144430 34144431 34144500 34144510 34144511 34144512 34144900 34514700 34921000 34921100 42120000 42122220 42410000 42414000 42414100 42414310 42415100 42418000 43200000 43210000 43312000 43324000 43325100 45510000 45520000 60170000 60172000 60180000 60181000 60182000 60183000,"Lot 1 is for the hire of cars and light vehicles for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework Agreement.
 The cars and light vehicles to be covered are, but not limited to, small cars, executive cars and vans up to 3.5 tonnes.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Lot 2 is for the hire of minibuses/buses with or without a driver, for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework Agreement.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Lot 3 is for the hire of commercial vehicles, for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework Agreement.
 The commercial vehicles to be covered are, but not limited to, tippers of various payloads, dropside crewcabs etc.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Lot 6 is for the hire of gritters, for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework Agreement.
 The gritters to be included range in size from 3.5 tonne to 26 tonne.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Lot 7 is for the hire of excavation plant with or without a driver or operator, for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework
 Agreement.
 The plant equipment to be covered is, but is not limited to, dozers, dumpers and excavators.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information Lot 5 is for the hire of sweepers, for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework Agreement.
 The sweepers to be covered are, but not limited to, a range of sweepers from 0.5 tonne to 18 tonne.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Lot 4 is for the hire of refuse collection vehicles, for use by all 32 Scottish councils and other contracting authorities permitted to call-off contracts under the proposed Framework Agreement.
 The refuse collection vehicles to be covered are, but not limited to, a range of sizes from 3.5",Scotland Excel
Contraceptive Medicines,2026-03-12,SCT,12017956.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000820742,rls-62-FEB549254,33600000,Supply of Oral Contraceptive Tablets to NHS Scotland. The Authority intends to award this Lot as a Unranked Multi-Supplier Framework on Line-by-Line Basis. Full details of Goods and volumes can be found within the ITT documents. Supply of Levonorgestrel Intrauterine Device to NHS Scotland. The Authority intends to award this Lot as a Unranked Multi-Supplier Framework on Line-by-Line Basis. Full details of Goods and volumes can be found within the ITT documents. Supply of Contraceptives Implants to NHS Scotland. The Authority intends to award this Lot as a Single Supplier Framework on Line-by-Line Basis. Full details of Goods and volumes can be found within the ITT documents. Supply of Contraceptives Injections to NHS Scotland. The Authority intends to award this Lot as a Single Supplier Framework on Line-by-Line Basis. Full details of Goods and volumes can be found within the ITT documents. Supply of All Other Contraceptive Products to NHS Scotland. The Authority intends to award this Lot as a Single Supplier Framework on Line-by-Line Basis. Full details of Goods and volumes can be found within the ITT documents.,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
Microscopy and Imaging Equipment,2026-05-06,SCT,80000000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000823577,rls-18-MAR552625,33128000 38510000 38634000 38651000 71900000,"A variety of low-end optical microscopes, with a price of 10,000 GBP (excl. VAT) and less, suitable for laboratory teaching including, but
 not be limited to:
 - Compound Microscopes â upright or inverted equipment featuring optional fluorescence and camera systems for use in teaching, tissue
 culture analysis and routine applications.
 - Stereo and/or Zoom Microscopes - equipment featuring optional fluorescence and camera systems, for routine and clinical dissection,
 sorting, and examination.
 - Gel Documentation Systems.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. Upright or inverted microscopes using laser technology such as Confocal, Spinning Disc, TIRF, Light Sheet and Multi-photon.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. - Deterministic super resolution and stochastic super resolution microscopy equipment such as simulated emission depletion (STED),
 ground state depletion (GSD), SPDMphymod.
 - FLIM/FRET systems.
 - Structured Illumination and other techniques (e.g. array detectors) for super resolution or other methods for achieving sub diffraction
 optical resolution.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. - Specialist camera and detector components for image acquisition in relation to life science applications and materials research.
 - Other detectors â Photo Multiplier Tubes (PMTs), FLIM.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. - Incendescent Lamps
 - Halogen Bulbs
 - Arc Lamps
 - LED Light Sources
 - Lasers.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. A variety of high-end optical microscopes, with a price of over 10,000 GBP (excl. VAT), suitable for research including, but not be limited
 to:
 - Compound Microscopes - upright or inverted equipment featuring optional fluorescence and camera systems for use in teaching, tissue
 culture analysis and routine applications.
 - Stereo and/or Zoom Microscopes - equipment featuring optional fluorescence and camera systems, for routine and clinical dissection,
 sorting, and examination.
 - Label Free Holographic Microscopes
 - Automated Live Cell (extended time lapse) microscopes
 - Slide scanners.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. A variety of high-end systems and associated products that can be used in high-content screening set up. The imaging systems can be
 laser-based or not. Associated products can be, but not limited to, software for data analysis, automatic sample handling etc.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015.",APUC Limited
SPS-02117 Provision of Retail Goods to the SPS,2026-05-01,SCT,,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000827121,rls-42-MAR552131,03112000 15000000 15312300 15312310 15800000 15812100 15840000 15842000 15842300 15842310 15890000 15893000 15894000 15895000 15900000 15990000 15992000 15993000 33710000 33711000 42200000 42210000 44618420 55300000 55900000 66151100,"The SPS will commence this procurement process in good faith and with the intention of awarding a contract. Following publication of the Contract Notice, an Invitation to Tender (ITT) will be published by SPS and will be made available to bidders on Public Contract Scotland-Tender (PCS-T). Tender responses will then be evaluated by the SPS in accordance with the ITT.",Scottish Prison Service
Patient Lifting,2026-04-08,SCT,8400000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000825494,rls-85-MAR551217,33192600,"Non powered Sit to Stand Transfer Aid delivered direct to each Health Board and local authorities if required. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Acute Mobile Hoist active Electric, This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot. Acute Mobile Hoist passive electric, delivered to Health Boards and Local Authorities if requested, This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Mobile Hoist passive electric bariatric add on weigh mechanism Deliver, product to be delivered direct to each Health Board or local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Acute Gantry ( Passive Electric) Hoist delivered direct to each Health Board and local authorities if requested . This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Patient Specific Clip Slings passive, delivered to the National Distribution Centre or direct to each Health Board and local authorities if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Patient Specific Clip Slings Active will be delivered into the NDS (National Distribution Site) and direct to each Health Board and to local authorities if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Reusable Clip Slings Passive, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Reusable Clip Slings Active, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Patient Specific Loop Slings Passive, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Patient Specific Loop Slings Active, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Reusable Loop Slings Passive, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Reusable Loop Slings Active, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Sliding Sheets Reusable, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Sliding Sheets- Patient Specific, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 4 suppliers to this Lot Air Assisted Supine Transfer Device, Delivery may be into the NDS (National Distribution Site) or delivered direct to each Health Board, local authority if requested. This Lot will be awarded as a Multi Supplier unranked ",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
NP86726 - Testing Kits Assembly & Distribution Service,2026-06-01,SCT,800000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000830695,rls-4-APR554912,33140000,"The requirement for the awarded supplier is as follows:
 Receive FOC inventory items from PHS/PDS as mentioned in each testing kit
 Source the supplier managed inventory items
 Build the relevant kits as requested
 Ship/Despatch the test kits for onward delivery
 Manage inventory/stock control of both Supplier Purchased items and FOC provided items from PHS/PDS, triggering the relevant orders/request for more FOC items as and when required. Receive FOC inventory items from PHS/PDS as mentioned in each testing kit
 Source the supplier managed inventory items
 Build the relevant kits as requested
 Ship/Despatch the test kits for onward delivery
 Manage inventory/stock control of both Supplier Purchased items and FOC provided items from PHS/PDS, triggering the relevant orders/request for more FOC items as and when required. The requirement for the awarded supplier is as follows:
 Receive FOC inventory items from PHS/PDS as mentioned in each testing kit
 Source the supplier managed inventory items
 Build the relevant kits as requested
 Ship/Despatch the test kits for onward delivery
 Manage inventory/stock control of both Supplier Purchased items and FOC provided items from PHS/PDS, triggering the relevant orders/request for more FOC items as and when required.
 Please note no stock is required to be held for these test kits, however the supplier must have the ability to stand up the sourcing/building of these kits within 24 hours notice in response to any future Pandemics. LFDs will be provided FOC from PDS to the awarded the supplier, the requirement for this area is that the awarded supplier will receive electronic notifications of the orders that are required twice daily, the supplier will then take one box of LFDs per order then action as follows:
 Apply Shipping label
 Despatch for onward delivery The supplier is required to store a number of pallets containing FOC supplied Stock from PSD/PHS this will vary depending on demand.
 The supplier is required to despatch any relevant orders for Lots 1-4 for onward delivery to the relevant end users as required",The Common Services Agency (more commonly known as Public Services Delivery Scotland) (PSD Scotland)
Fife Assertive Outreach & Recovery Service,2026-05-05,SCT,4214224.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000828466,rls-78-APR553196,33693300 85000000 85300000 85310000 85312000 85312300 85312310 85312320 85312500 85323000,"Fifeâs Alcohol and Drug Partnership (âFife ADPâ) wishes to procure an experienced organisation to provide an assertive outreach, trauma informed, relationship based and wraparound person-centred service, embedded within all Fife communities for people affected by their own substance use. A flexible and multiple service modelled approach within the oneâ¯organisationâ¯isâ¯required, allowing for a high degree of agility and responsiveness for different entry and exit points.â¯Theâ¯service model has four components, as follows:
 - Triage, Assessment & Harm Reduction
 - Assertive Outreach
 - Recovery Activities and Communities
 - Training and Workforce Development
 Further details are provided within the Service Specification.",Fife Council
Janitorial Products,2026-06-26,SCT,17900000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000832270,rls-9-MAY556636,18424300 33711900 33761000 33763000 33771000 33771100 34928480 39222100 39224000 39224200 39224310 39224340 39525800 39830000 39831000 39831200 39831300 39831600 39831700 42933100 42968200 42968300,"The scope of this agreement is the supply of a range of Janitorial and Cleaning products and associated products, materials and services.
 Contractors must be able to price and supply a minimum of 71.75% (170-line items) of the products listed in the Core Product List (Section A) for Lot 1.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015. The scope of this lot is the supply of a range of single use and re-usable sanitary products and associate products and support services as detailed in the Invitation to Tender documents and appendices to multiple sites and locations across Scotland as detailed in Appendix E - List of Institutions alongside the option to deliver directly to students.
 Contractors must be able to price and supply a minimum of 64.71% (22 line items) of the products listed in the Core Product List (Section A) for Lot 2.. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 58 of the Public Contracts (Scotland) Regulations 2015.",APUC Limited
